OBJECT_TYPE,OBJECT_ID,LEGAL_TEXT_ID,ARTICLE,VALID_FROM,VALID_TO
MEMBER,INSTTTNL_SCTR_S125_D,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraph 2.93 of Annex A),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_B2,ESA_REGULATION,"Subsector S.122, as defined in Regulation (EU) No 549/2013 (paragraphs 2.75 to 2.78 of Annex A)",2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_E,EMIR_REGULATION,Point (1) of Article 2 of Regulation (EU) No 648/2012,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_B2,ESA_REGULATION,Regulation (EU) No 549/2013 (paragraph 2.91 of Annex A),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_B1,EMONEY_DIRECTIVE,Directive 2009/110/EC [article 2(1)],2025-02-12,9999-12-31
MEMBER,FRBRNC_STTS_4,MIR_STATISTICS_REGULATION,Regulation (EU) No 1072/2013 (ECB/2013/34),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_A_2,CRD_IV_DIRECTIVE,Article 2.5 Directive 2013/36/EU,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S125_A,FVC_STATS_REGULATION,Article 1 of Regulation (EU) No 1075/2013,2025-02-12,9999-12-31
MEMBER,SBRDNTD_DBT_1,MFI_BALANCE_SHEET_REGULATION,Annex II to Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
MEMBER,SBRDNTD_DBT_2,MFI_BALANCE_SHEET_REGULATION,Table in Annex II to Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_51,MFI_BALANCE_SHEET_REGULATION,Regulation (EU) 1071/201,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_20,MFI_BALANCE_SHEET_REGULATION,Point 2(1)(c) of the Table in Part 2 of Annex II to Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_119,MFI_BALANCE_SHEET_REGULATION,"Regulation (EU) No 1071/2013 Annex II, Part 2",2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_115,MFI_BALANCE_SHEET_REGULATION,BSI Regulation (ECB/2013/33),2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_B,MFI_BALANCE_SHEET_REGULATION,Article 1(a)(2)(a)(ii) of Regulation (EU) No 1071/2013 (ECB/2013/33),2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_5,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,FRBRNC_STTS_9,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,LGL_FRM_NTRL_PRSN,EU_DATA_PROTECTION_EC_REGULATION,Regulation (EC) No 45/2001,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_74,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,RCGNTN_STTS_2,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S12_K_C,MFI_BALANCE_SHEET_REGULATION,Article 9(1) of Regulation ECB/2013/33,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_25,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,RCGNTN_STTS_1,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,FRBRNC_STTS_3,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,FRBRNC_STTS_8,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,RCGNTN_STTS_3,ITS_SUPERVISORY_REPORTING_REGULATION,"Subsector S.121, as defined in Regulation (EU) No 549/2013 (paragraphs 2.72 to 2.74 of Annex A)",2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_41,ITS_SUPERVISORY_REPORTING_REGULATION,Paragraph 58 (b) of Part 2 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S12_K_B,MFI_BALANCE_SHEET_REGULATION,Article 9(1) of Regulation ECB/2013/33,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_17,ITS_SUPERVISORY_REPORTING_REGULATION,Paragraph 5.41(c) of part 2 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_PRTCTN_42,ITS_SUPERVISORY_REPORTING_REGULATION,Paragraph 67 (d) of Part 2 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,FRBRNC_STTS_5,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S122_A_1,MFI_BALANCE_SHEET_REGULATION,Article 9(1) of Regulation ECB/2013/33,2025-02-12,9999-12-31
MEMBER,PRJCT_FNNC_LN_1,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_71,ITS_SUPERVISORY_REPORTING_REGULATION,Paragraph 5.41(c) of part 2 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1003,ITS_SUPERVISORY_REPORTING_REGULATION,Part 2.14 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1009,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1011,ITS_SUPERVISORY_REPORTING_REGULATION,Paragraph 59 of Part 2 of Annex V to Implementing Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1010,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,TYP_INSTRMNT_1023,ITS_SUPERVISORY_REPORTING_REGULATION,"Regulation (EU) No 680/2014, Annex V, Part 2.41 (c)",2025-02-12,9999-12-31
MEMBER,ACCNTNG_CLSSFCTN_80,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,ACCNTNG_CLSSFCTN_50,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,ACCNTNG_CLSSFCTN_46,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1_MDB,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014 Annex V,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S13_IO,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014 Annex V,2025-02-12,9999-12-31
MEMBER,INSTTTNL_SCTR_S1_MDB_S13_IO,ITS_SUPERVISORY_REPORTING_REGULATION,Regulation (EU) No 680/2014 Annex V,2025-02-12,9999-12-31
VARIABLE,PD,CRR_REGULATION,"Articles 160, 163, 179 and 180 of Regulation (EU) No 575/2013",2025-02-12,9999-12-31
VARIABLE,DFLT_STTS,CRR_REGULATION,Article 178 of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,ANNL_TRNVR,CRR_REGULATION,Article 153(4) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,TYP_SCRTSTN,CRR_REGULATION,Article 242(10) and (11) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,PRDNTL_PRTFL,CRR_REGULATION,Article 4(1)(86) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,BLNC_SHT_TTL,ESA_REGULATION,Regulation (EU) 549/2013,2025-02-12,9999-12-31
VARIABLE,ANNL_TRNVR_LE,CRR_REGULATION,Article 153(4) of Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
VARIABLE,BLNC_SHT_TTL_LE,ESA_REGULATION,Regulation (EU) 549/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_LE,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,BLNC_SHT_TTL_GRP,ESA_REGULATION,Regulation (EU) 549/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_LE,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
VARIABLE,PRTCTN_ALLCTD_VL,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_DTL,ESA_REGULATION,Regulation (EU) No 549/2013,2025-02-12,9999-12-31
VARIABLE,INSTTTNL_SCTR_DTL,CRR_REGULATION,Regulation (EU) No 575/2013,2025-02-12,9999-12-31
VARIABLE,ECNMC_ACTVTY,NACE_REV2_REGULATION,Regulation (EC) No 1893/2006,2025-02-12,9999-12-31
