MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB6,ECB6_EBA_432153,Variable set for combination EBA_432153,EBA_432153,Variable set for combination EBA_432153
ECB6,ECB6_EBA_432768,Variable set for combination EBA_432768,EBA_432768,Variable set for combination EBA_432768
ECB6,ECB6_EBA_433197,Variable set for combination EBA_433197,EBA_433197,Variable set for combination EBA_433197
ECB6,ECB6_EBA_433217,Variable set for combination EBA_433217,EBA_433217,Variable set for combination EBA_433217
ECB6,ECB6_EBA_433237,Variable set for combination EBA_433237,EBA_433237,Variable set for combination EBA_433237
ECB6,ECB6_EBA_431701,Variable set for combination EBA_431701,EBA_431701,Variable set for combination EBA_431701
ECB6,ECB6_EBA_431721,Variable set for combination EBA_431721,EBA_431721,Variable set for combination EBA_431721
ECB6,ECB6_EBA_431564,Variable set for combination EBA_431564,EBA_431564,Variable set for combination EBA_431564
ECB6,ECB6_EBA_432529,Variable set for combination EBA_432529,EBA_432529,Variable set for combination EBA_432529
ECB6,ECB6_EBA_432564,Variable set for combination EBA_432564,EBA_432564,Variable set for combination EBA_432564
ECB6,ECB6_EBA_432307,Variable set for combination EBA_432307,EBA_432307,Variable set for combination EBA_432307
ECB6,ECB6_EBA_432139,Variable set for combination EBA_432139,EBA_432139,Variable set for combination EBA_432139
ECB6,ECB6_EBA_432127,Variable set for combination EBA_432127,EBA_432127,Variable set for combination EBA_432127
ECB6,ECB6_EBA_432756,Variable set for combination EBA_432756,EBA_432756,Variable set for combination EBA_432756
